,,REL_ERROR_ARGMAX,REL_ERROR_MAX_TEST_CASE,REL_ERROR_MAX,REL_ERROR_MED,REL_ERROR_MEAN,REL_ERROR_MIN,REL_ERROR_STD,REL_ERROR_IQR,ABS_ERROR_ARGMAX,ABS_ERROR_MAX_TEST_CASE,ABS_ERROR_MAX,ABS_ERROR_MED,ABS_ERROR_MEAN,ABS_ERROR_MIN,ABS_ERROR_STD,ABS_ERROR_IQR
mad_16,add,"[0, 0]","['x=(nan, nan), y_true=nan, y_est=nan', 'x=(nan, nan), y_true=1.0, y_est=1.0']","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0, 0]","['x=(nan, nan), y_true=nan, y_est=nan', 'x=(nan, nan), y_true=1.0, y_est=1.0']","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
mad_16,sub,"[0, 0]","['x=(nan, nan), y_true=nan, y_est=nan', 'x=(nan, nan), y_true=1.0, y_est=1.0']","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0, 0]","['x=(nan, nan), y_true=nan, y_est=nan', 'x=(nan, nan), y_true=1.0, y_est=1.0']","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
mad_16,mul,"[0, 0]","['x=(nan, nan), y_true=nan, y_est=nan', 'x=(nan, nan), y_true=nan, y_est=nan']","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0, 0]","['x=(nan, nan), y_true=nan, y_est=nan', 'x=(nan, nan), y_true=nan, y_est=nan']","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
mad_16,div,"[172817, 903958]","['x=(6.994271278381348, -5.314532279968262), y_true=-1.3160653114318848, y_est=-1.3160650730133057', 'x=(-8.111435890197754, -1.9941080808639526), y_true=-0.5014773607254028, y_est=-0.5014773011207581']","[1.8116014e-05, 4.6949765e-05]","[0.0, 0.0]","[3.3222937e-06, 8.4982885e-06]","[3.3222937e-06, 8.4982885e-06]","[4.2489055e-06, 1.0343813e-05]","[7.37370408e-06, 1.65175575e-05]","[145830, 145830]","['x=(-7.537135124206543, 3.501618994050659e-05), y_true=-215247.15625, y_est=-215247.140625', 'x=(-7.537135124206543, 3.501618994050659e-05), y_true=28558.21875, y_est=28558.216796875']","[0.015625, 1024.002]","[0.0, 0.0]","[2.2909755e-07, 0.0022965197]","[2.2909755e-07, 0.0022965197]","[2.2801793e-05, 1.1720152]","[5.96046448e-08, 2.98023224e-08]"
mad_16,sin,"[589415, 522564]","['x=(9.948429107666016, -9.43754768371582), y_true=-0.5000453591346741, y_est=-0.5000452995300293', 'x=(4.9650702476501465, 4.365104675292969), y_true=0.2500009536743164, y_est=0.2500009834766388']","[1.1919848e-05, 1.19208835e-05]","[0.0, 0.0]","[4.3753082e-07, 4.3298982e-07]","[4.3753082e-07, 4.3298982e-07]","[1.8261691e-06, 1.806741e-06]","[0.0, 0.0]","[35, 65]","['x=(-1.0, nan), y_true=-0.8414710164070129, y_est=-0.8414709568023682', 'x=(-9.59563159942627, -7.035726070404053), y_true=-0.9854399561882019, y_est=-0.9854400157928467']","[5.9604645e-08, 5.9604645e-08]","[0.0, 0.0]","[2.9300298e-09, 2.9867757e-09]","[2.9300298e-09, 2.9867757e-09]","[1.2523085e-08, 1.2699846e-08]","[0.0, 0.0]"
mad_16,cos,"[522564, 589415]","['x=(4.9650702476501465, 4.365104675292969), y_true=0.2500009536743164, y_est=0.2500009834766388', 'x=(9.948429107666016, -9.43754768371582), y_true=0.5000453591346741, y_est=0.5000452995300293']","[1.19208835e-05, 1.1919848e-05]","[0.0, 0.0]","[4.3298982e-07, 4.3753082e-07]","[4.3298982e-07, 4.3753082e-07]","[1.806741e-06, 1.8261691e-06]","[0.0, 0.0]","[65, 35]","['x=(-9.59563159942627, -7.035726070404053), y_true=-0.9854399561882019, y_est=-0.9854400157928467', 'x=(-1.0, nan), y_true=0.8414710164070129, y_est=0.8414709568023682']","[5.9604645e-08, 5.9604645e-08]","[0.0, 0.0]","[2.9867757e-09, 2.9300298e-09]","[2.9867757e-09, 2.9300298e-09]","[1.2699846e-08, 1.2523085e-08]","[0.0, 0.0]"
mad_16,exp,"[910726, 910726]","['x=(9.704317092895508, 8.35721492767334), y_true=16388.203125, y_est=16388.205078125', 'x=(9.704317092895508, 8.35721492767334), y_true=16388.203125, y_est=16388.205078125']","[1.1917871e-05, 1.1917871e-05]","[0.0, 0.0]","[8.1943244e-07, 8.1943244e-07]","[8.1943244e-07, 8.1943244e-07]","[2.499844e-06, 2.499844e-06]","[0.0, 0.0]","[198, 198]","['x=(9.976940155029297, 3.105574369430542), y_true=21524.349609375, y_est=21524.3515625', 'x=(9.976940155029297, 3.105574369430542), y_true=21524.349609375, y_est=21524.3515625']","[0.001953125, 0.001953125]","[0.0, 0.0]","[8.557588e-06, 8.557588e-06]","[8.557588e-06, 8.557588e-06]","[8.929776e-05, 8.929776e-05]","[0.0, 0.0]"
mad_16,log,"[72823, 24515]","['x=(2.7182962894439697, -4.616031646728516), y_true=1.0000053644180298, y_est=1.0000052452087402', 'x=(-3.9999983310699463, -7.648326873779297), y_true=-0.25000011920928955, y_est=-0.25000008940696716']","[1.1920865e-05, 1.19209235e-05]","[0.0, 0.0]","[2.681357e-07, 2.5867078e-06]","[2.681357e-07, 2.5867078e-06]","[1.482993e-06, 3.7324864e-06]","[0.0, 6.59897705e-06]","[43500, 214355]","['x=(0.0065320078283548355, 5.195760250091553), y_true=-5.031040668487549, y_est=-5.031041145324707', 'x=(-2.0330515326349996e-05, 3.233163833618164), y_true=-49187.14453125, y_est=-49187.140625']","[4.7683716e-07, 0.00390625]","[0.0, 0.0]","[3.5276515e-09, 4.248389e-08]","[3.5276515e-09, 4.248389e-08]","[2.1299366e-08, 6.2386266e-06]","[0.0, 7.4505806e-09]"
mad_16,sqrt,"[394249, 168172]","['x=(6.491580963134766, -9.069025039672852), y_true=2.5478579998016357, y_est=2.547858476638794', 'x=(0.9926518201828003, 9.578082084655762), y_true=0.5018472671508789, y_est=0.5018471479415894']","[1.8715216e-05, 2.3754097e-05]","[0.0, 0.0]","[1.4417928e-06, 2.2696745e-06]","[1.4417928e-06, 2.2696745e-06]","[3.2407283e-06, 4.1153007e-06]","[0.0, 6.00848773e-06]","[11075, 582399]","['x=(9.335861206054688, -5.545756816864014), y_true=3.055464267730713, y_est=3.0554637908935547', 'x=(1.0084698260470759e-05, -4.668506145477295), y_true=157.44850158691406, y_est=157.44851684570312']","[4.7683716e-07, 1.5258789e-05]","[0.0, 0.0]","[3.0191856e-08, 7.1751476e-09]","[3.0191856e-08, 7.1751476e-09]","[7.274205e-08, 2.9955388e-08]","[0.0, 1.49011612e-08]"
mad_16,tanh,"[432164, 57]","['x=(-1.0940237189061008e-05, -3.949950695037842), y_true=-1.0940237189061008e-05, y_est=-1.0848045349121094e-05', 'x=(9.273255348205566, -2.2241554260253906), y_true=1.1920928955078125e-07, y_est=0.0']","[0.8426859, 100.0]","[5.9604654e-06, 0.00017091443]","[1.1883806e-05, 15.316217]","[1.1883806e-05, 15.316217]","[0.00097632036, 34.037216]","[7.14025714e-06, 1.06951869]","[2446, 46716]","['x=(-1.2831757068634033, 4.717216968536377), y_true=-0.8573287725448608, y_est=-0.8573284149169922', 'x=(-2.8086228370666504, 1.1572412252426147), y_true=0.01443338394165039, y_est=0.014434099197387695']","[3.5762787e-07, 7.1525574e-07]","[5.9604645e-08, 1.1920929e-07]","[5.408029e-08, 1.0110408e-07]","[5.408029e-08, 1.0110408e-07]","[5.76098e-08, 1.131336e-07]","[5.96046448e-08, 1.1920929e-07]"
